Name,ID,Password,Phone,Department,Year,Gender,Building,Room
Eden Bekele,UGR0001,6sbS7Sxe,0968330806,Computer Science,4,Female,Block 6,Block 6 - R1
Daniel Bekele,UGR0002,BBW8x0uk,0980247788,Computer Science,3,Male,Block 1,Block 1 - R1
Daniel Kebede,UGR0003,xoPpjyIc,0961921267,Computer Science,4,Female,Block 6,Block 6 - R1
Eden Kebede,UGR0004,gF8q7Oq7,0929793688,Computer Science,1,Female,Block 6,Block 6 - R1
Ruth Tadesse,UGR0005,W0lmCyv9,0951669068,Computer Science,2,Female,Block 6,Block 6 - R1
Mikiyas Alemu,UGR0006,BB3Kb8pv,0948568178,Electrical Engineering,2,Female,Block 6,Block 6 - R2
Sara Gebre,UGR0007,7Ac5Cg0P,0948652127,Computer Science,3,Male,Block 1,Block 1 - R1
Samuel Bekele,UGR0008,U17hJYTY,0950639861,Electrical Engineering,2,Female,Block 6,Block 6 - R2
Hana Kebede,UGR0009,eTlnIT1g,0997612306,Information Technology,4,Male,Block 1,Block 1 - R1
Mikiyas Bekele,UGR0010,azWof4is,0980058772,Software Engineering,4,Female,Block 6,Block 6 - R2
Eden Tesfaye,UGR0011,5lt8MqGC,0993613352,Information Technology,1,Male,Block 1,Block 1 - R1
Abel Abraham,UGR0012,wFPXY1UP,0995375880,Software Engineering,3,Female,Block 6,Block 6 - R2
Yonatan Mekonnen,UGR0013,piqNfHmM,0939475601,Information Technology,2,Female,Block 6,Block 6 - R3
Samuel Abraham,UGR0014,BOVrrQPo,0966498014,Electrical Engineering,2,Female,Block 6,Block 6 - R3
Yonatan Abraham,UGR0015,XsUGFujN,0997629082,Software Engineering,4,Female,Block 6,Block 6 - R3
Daniel Bekele,UGR0016,66NwcTfR,0910347228,Computer Science,2,Female,Block 6,Block 6 - R3
Eden Tesfaye,UGR0017,yY9qPPrW,0961503844,Software Engineering,3,Female,Block 6,Block 6 - R4
Meron Tadesse,UGR0018,aIoqLD94,0971443349,Software Engineering,1,Female,Block 6,Block 6 - R4
Daniel Kebede,UGR0019,7vgpC4io,0933093203,Information Technology,4,Female,Block 6,Block 6 - R4
Yonatan Bekele,UGR0020,mXKuO09k,0912246971,Computer Science,3,Female,Block 6,Block 6 - R4
Hana Alemu,UGR0021,zCO30X9X,0912397515,Software Engineering,4,Male,Block 1,Block 1 - R2
Meron Alemu,UGR0022,4olc0NAU,0987783911,Information Technology,1,Male,Block 1,Block 1 - R2
Sara Kebede,UGR0023,9YtDQgTT,0964229535,Computer Science,4,Female,Block 6,Block 6 - R5
Meron Alemu,UGR0024,NNwsTy5n,0961144820,Electrical Engineering,2,Female,Block 6,Block 6 - R5
Ruth Abraham,UGR0025,rZUYkgB0,0963776754,Information Technology,2,Male,Block 1,Block 1 - R2
Mikiyas Tadesse,UGR0026,PNyl2nrp,0961943905,Information Technology,4,Female,Block 6,Block 6 - R5
Meron Tesfaye,UGR0027,Flu1pgfS,0977590490,Computer Science,2,Male,Block 1,Block 1 - R2
Meron Tadesse,UGR0028,Vb1tmp0O,0911650941,Computer Science,2,Female,Block 6,Block 6 - R5
Sara Alemu,UGR0029,YQy5Mjks,0931918566,Computer Science,3,Female,Block 6,Block 6 - R6
Yonatan Kebede,UGR0030,JSHu9Hdv,0936045271,Electrical Engineering,4,Female,Block 6,Block 6 - R6
Daniel Bekele,UGR0031,ES55COp3,0922069304,Software Engineering,4,Female,Block 6,Block 6 - R6
Hana Kebede,UGR0032,6lGDBHyt,0993819192,Information Technology,2,Female,Block 6,Block 6 - R6
Daniel Mekonnen,UGR0033,ZBUGqyei,0984874336,Software Engineering,3,Female,Block 6,Block 6 - R7
Daniel Bekele,UGR0034,gEI83ccj,0961415999,Computer Science,1,Female,Block 6,Block 6 - R7
Meron Mekonnen,UGR0035,UjkeHOov,0968068454,Software Engineering,2,Male,Block 1,Block 1 - R3
Yonatan Kebede,UGR0036,N3zog5vD,0961935501,Software Engineering,1,Female,Block 6,Block 6 - R7
Mikiyas Mekonnen,UGR0037,zQQpoQlP,0975128298,Information Technology,2,Male,Block 1,Block 1 - R3
Ruth Mekonnen,UGR0038,WOlSPBhR,0989587786,Computer Science,1,Male,Block 1,Block 1 - R3
Meron Abraham,UGR0039,EYnxpVqv,0996971412,Information Technology,3,Female,Block 6,Block 6 - R7
Eden Tesfaye,UGR0040,3XPEUtbI,0917688297,Computer Science,3,Female,Block 6,Block 6 - R8
Meron Tesfaye,UGR0041,o8KhmyGe,0970288040,Electrical Engineering,4,Male,Block 1,Block 1 - R3
Ruth Gebre,UGR0042,RamA5UKe,0949844247,Information Technology,2,Female,Block 6,Block 6 - R8
Yonatan Tadesse,UGR0043,MwDurV1u,0942132870,Software Engineering,1,Female,Block 6,Block 6 - R8
Mikiyas Alemu,UGR0044,U7VWiPE9,0978403826,Software Engineering,2,Female,Block 6,Block 6 - R8
Hana Bekele,UGR0045,JkJB1svQ,0995224794,Information Technology,1,Female,Block 6,Block 6 - R9
Sara Tesfaye,UGR0046,cYoupifJ,0962596751,Information Technology,3,Male,Block 1,Block 1 - R4
Mikiyas Kebede,UGR0047,IWGCvd94,0938704451,Computer Science,2,Female,Block 6,Block 6 - R9
Abel Bekele,UGR0048,nQoYEtqC,0914294325,Computer Science,1,Male,Block 1,Block 1 - R4
Samuel Bekele,UGR0049,1AjXT87L,0977544345,Electrical Engineering,3,Male,Block 1,Block 1 - R4
Samuel Tesfaye,UGR0050,IsOw7Z9A,0910971853,Computer Science,2,Male,Block 1,Block 1 - R4
Abel Abraham,UGR0051,M42gHM2v,0999340864,Electrical Engineering,3,Female,Block 6,Block 6 - R9
Sara Gebre,UGR0052,q7d37kiA,0957922312,Software Engineering,1,Female,Block 6,Block 6 - R9
Abel Tesfaye,UGR0053,4SAzEipo,0930427015,Electrical Engineering,3,Male,Block 1,Block 1 - R5
Eden Bekele,UGR0054,9Vto19o5,0997394481,Information Technology,2,Male,Block 1,Block 1 - R5
Hana Tesfaye,UGR0055,kg624Sg9,0948934869,Computer Science,1,Male,Block 1,Block 1 - R5
Meron Gebre,UGR0056,oLKm9jaC,0975199902,Software Engineering,4,Male,Block 1,Block 1 - R5
Samuel Tesfaye,UGR0057,APoasFjl,0994636274,Information Technology,1,Male,Block 1,Block 1 - R6
Mikiyas Alemu,UGR0058,upb1TryL,0952948800,Information Technology,2,Male,Block 1,Block 1 - R6
Yonatan Tesfaye,UGR0059,PToNOsZM,0992506390,Information Technology,2,Male,Block 1,Block 1 - R6
Sara Gebre,UGR0060,okJ3HFhx,0936307560,Computer Science,3,Male,Block 1,Block 1 - R6
Eden Abraham,UGR0061,jICHYFwV,0987740397,Information Technology,4,Female,Block 6,Block 6 - R10
Abel Gebre,UGR0062,5ieJeHV1,0916027572,Electrical Engineering,1,Female
Samuel Abraham,UGR0063,MgDocLoz,0941503497,Information Technology,2,Male
Abel Kebede,UGR0064,uTHHk9OR,0945652693,Computer Science,2,Male
Yonatan Abraham,UGR0065,d6pFoo9B,0913156724,Electrical Engineering,3,Male
Mikiyas Tesfaye,UGR0066,6hFGmyQu,0968883973,Software Engineering,1,Female
Eden Bekele,UGR0067,oywEIJ4y,0988888300,Information Technology,2,Female
Sara Alemu,UGR0068,TmIEpjCu,0915547677,Software Engineering,2,Male
Mikiyas Gebre,UGR0069,3YYNiMtx,0998337184,Computer Science,2,Female
Sara Abraham,UGR0070,2zAJr5ap,0984989628,Software Engineering,2,Female
Sara Gebre,UGR0071,kFZyp9M3,0940869073,Software Engineering,4,Female
Yonatan Kebede,UGR0072,416ZkbPF,0945204028,Electrical Engineering,1,Female
Meron Gebre,UGR0073,3rMXh0x4,0954314643,Software Engineering,1,Male
Sara Bekele,UGR0074,Oguv51Nj,0922807853,Software Engineering,3,Female
Abel Tesfaye,UGR0075,NRCB1ojL,0922212644,Information Technology,2,Female
Meron Bekele,UGR0076,hg2gIoLp,0934108063,Information Technology,1,Male
Hana Tadesse,UGR0077,YC239BOB,0945618752,Information Technology,2,Male
Hana Tesfaye,UGR0078,tpyzrVuE,0922013504,Software Engineering,1,Female
Abel Tadesse,UGR0079,wQ5NJHfK,0912766247,Electrical Engineering,4,Female
Abel Gebre,UGR0080,zf9Tgs0l,0975536359,Computer Science,1,Female
Meron Tadesse,UGR0081,zI9SIoR2,0965771114,Electrical Engineering,2,Female
Samuel Tesfaye,UGR0082,ihfV6aJ6,0991568598,Information Technology,3,Male
Abel Tadesse,UGR0083,naUS5mCe,0927254338,Information Technology,1,Male
Ruth Bekele,UGR0084,dmEhDVu8,0963330069,Information Technology,4,Male
Daniel Alemu,UGR0085,SbGYwCju,0940585695,Computer Science,4,Female
Mikiyas Bekele,UGR0086,9xfUAxPf,0980706303,Software Engineering,3,Male
Ruth Mekonnen,UGR0087,NBSpmRWl,0933530919,Software Engineering,1,Female
Meron Bekele,UGR0088,TtJd7B4V,0927853788,Computer Science,4,Female
Eden Mekonnen,UGR0089,WrHvU1xu,0956653844,Computer Science,3,Male
Samuel Tesfaye,UGR0090,MBKNb9zq,0960228213,Information Technology,2,Male
Daniel Gebre,UGR0091,rToWVjfD,0964608653,Software Engineering,3,Male
Daniel Tesfaye,UGR0092,fJPeh3wh,0967430732,Electrical Engineering,1,Female
Mikiyas Mekonnen,UGR0093,Rmoa3qRn,0993995961,Electrical Engineering,1,Male
Samuel Tadesse,UGR0094,ft3OscD8,0954572475,Electrical Engineering,2,Female
Hana Kebede,UGR0095,KvhKVqVl,0968752696,Electrical Engineering,4,Male
Hana Tesfaye,UGR0096,Wt4Cg7gv,0918855697,Information Technology,1,Male
Hana Alemu,UGR0097,vAFncR91,0977853618,Software Engineering,1,Male
Abel Bekele,UGR0098,U2E9rzYg,0932835254,Software Engineering,2,Male
Meron Mekonnen,UGR0099,YkqDHKuA,0943220560,Software Engineering,1,Female
Yonatan Alemu,UGR0100,5gmvkM8C,0993276022,Computer Science,3,Male
Ruth Kebede,UGR0101,De3pzVYz,0932718327,Information Technology,3,Female
Mikiyas Gebre,UGR0102,wNXvPYTe,0976819128,Information Technology,4,Male
Meron Tesfaye,UGR0103,NUB45egr,0988259914,Electrical Engineering,1,Female
Samuel Bekele,UGR0104,tnMl8SUN,0920569932,Software Engineering,1,Female
Eden Abraham,UGR0105,PYBgIONg,0939177753,Computer Science,4,Male
Sara Tesfaye,UGR0106,jWiIc7Pv,0999295753,Software Engineering,2,Male
Eden Bekele,UGR0107,0KK6q6vh,0935964234,Electrical Engineering,2,Female
Ruth Mekonnen,UGR0108,YueDWRzr,0975557918,Electrical Engineering,3,Female
Daniel Alemu,UGR0109,jn1hIQaD,0949256012,Information Technology,1,Female
Eden Bekele,UGR0110,czBWJeNy,0980798404,Information Technology,2,Male
Meron Kebede,UGR0111,p4Yzs62J,0935714964,Software Engineering,4,Male
Yonatan Gebre,UGR0112,ynTCcCBk,0958372398,Software Engineering,4,Female
Sara Kebede,UGR0113,Cb16ATFx,0919708096,Computer Science,1,Male
Hana Bekele,UGR0114,WBTsqT5f,0923274066,Information Technology,2,Male
Sara Alemu,UGR0115,Hg35btPT,0998880118,Information Technology,1,Female
Ruth Gebre,UGR0116,z3bf7Us8,0984618628,Computer Science,4,Male
Samuel Mekonnen,UGR0117,Jbv3JWVf,0913074291,Electrical Engineering,2,Female
Eden Tadesse,UGR0118,BYShkjFz,0944572842,Electrical Engineering,3,Male
Meron Tesfaye,UGR0119,fmDVJEI4,0924680893,Information Technology,4,Female
Yonatan Abraham,UGR0120,7V2A2VJp,0958295278,Software Engineering,1,Female
Hana Bekele,UGR0121,3IaY2c5y,0974433930,Electrical Engineering,3,Male
Yonatan Mekonnen,UGR0122,8MTao1Mj,0942615671,Software Engineering,1,Female
Daniel Alemu,UGR0123,q1AGS6vT,0949128555,Computer Science,1,Female
Sara Abraham,UGR0124,CSpopNZ9,0956968943,Software Engineering,4,Female
Abel Gebre,UGR0125,wRY1OQw1,0957926863,Software Engineering,3,Male
Meron Gebre,UGR0126,DoDvIjID,0911969662,Information Technology,2,Female
Mikiyas Tesfaye,UGR0127,lRFkroI8,0927846252,Software Engineering,3,Female
Mikiyas Mekonnen,UGR0128,H32zOqrL,0917172239,Software Engineering,1,Male
Ruth Kebede,UGR0129,upI7jU7Y,0993693812,Electrical Engineering,3,Female
Mikiyas Gebre,UGR0130,obbEHqpN,0925810375,Software Engineering,2,Female
Samuel Tesfaye,UGR0131,k5BoCZsi,0973647475,Computer Science,1,Male
Daniel Mekonnen,UGR0132,vKJUJPG2,0972836539,Software Engineering,4,Male
Samuel Tadesse,UGR0133,IFoQeXVW,0929029898,Software Engineering,2,Female
Meron Abraham,UGR0134,mZlMOJY4,0938194571,Computer Science,1,Male
Hana Abraham,UGR0135,tAbeBiRK,0950805253,Computer Science,1,Female
Abel Tesfaye,UGR0136,eQDevItc,0947851809,Electrical Engineering,2,Female
Ruth Tesfaye,UGR0137,OsEsiYst,0978665556,Electrical Engineering,2,Male
Samuel Kebede,UGR0138,964KVSJR,0963601416,Information Technology,1,Female
Samuel Kebede,UGR0139,WqxztwHv,0998158319,Software Engineering,3,Male
Samuel Bekele,UGR0140,HUTTi4Ga,0913715071,Computer Science,3,Male
Ruth Bekele,UGR0141,dh8yFAZz,0993633115,Software Engineering,1,Female
Daniel Mekonnen,UGR0142,7T8c20YB,0962946965,Software Engineering,1,Male
